"manyclasses_institution_id","manyclasses_course_id","manyclasses_student_id","outcome","student_cumulativeGrade","student_accessedAllTreatmentQuizzes","student_accessedAllDelayedFeedback","student_accessedAllImmediateFeedback","student_nbrOfQuizzesWithFeedbackView","student_timeSpentOnTreatmentQuizzes","student_avgTimeSpentOnTreatmentQuizzes","student_timeSpentViewingFeedback","student_avgTimeSpentViewingFeedback","student_daysSubmittedBeforeDueDate","student_daysFeedbackAfterSubmission"
"1","28","266ecf5e378b26569bbcceb840d6391d","0.239543398",-2.01630437313072,"no","no","no",3,-0.209085862600393,-0.237345254116482,-0.731197243997596,1.14440502718384,0.169974922839506,NA
"1","28","2b769498a04a02683d67b8079185aa9b","0.024890719",0.542093137262495,"yes","no","yes",9,-0.255738143435861,-0.555820257964806,0.290299616276283,-0.133551924923656,1.00886689814815,2.13077256944444
"1","28","346239c9d688c90e456cb1021b113848","-0.115842557",-1.50248395263334,"yes","no","yes",5,-0.195296806524385,-0.38359937442338,-0.727641139092959,-0.0881923417470012,0.142590277777778,NA
"1","28","42ecc2bc1c2097073c81baebf43b33ad","0.580682462",0.745480387042709,"yes","no","yes",9,-0.147606193153073,-0.247710262912338,1.37395100575295,0.0695801214761457,1.78715277777778,4.26603877314815
"1","28","4df8b8717a7e2d4e1a055d23104299cc","0.929840281",-0.260751269764664,"yes","yes","yes",10,-0.161727515640551,-0.287947404574654,1.92247302927205,NA,0.186696759259259,4.30052314814815
"1","28","597e5956808f0dda17289ef541c6d42a","-0.369442803",0.488570176794018,"yes","yes","yes",10,-0.0121868638283074,0.13815209117584,-0.163868235723171,-0.116542081232411,0.598694444444444,4.83561111111111
"1","28","6d6d817d713066d82d601b62cd58bfdb","0.262418102",1.08802733404096,"yes","no","yes",7,-0.230143246427308,-0.482890438701859,0.848015402153511,1.84254817694626,0.521488425925926,3.4439525462963
"1","28","705cc09b45dcaacca10d779b2dc5467d","0.256543183",0.584911505637277,"yes","no","yes",9,-0.254907477407186,-0.553453367278788,0.829537686370843,-1.03975751056161,2.3320775462963,4.348203125
"1","28","9b1018cd3f7ecaa3a523689995a74571","0.035523283",0.424342624231845,"yes","yes","yes",10,-0.0385916602148187,0.0629145534940245,1.63593601124951,-1.10015478163922,0.104780092592593,1.17342824074074
"1","28","9fd1df1821bd2455977cbf6829eea83f","-0.327147165",0.291605682270021,"yes","no","no",10,5.03377699396175,1.69210035835725,0.609793595252788,-0.730375570959967,0.382771990740741,5.26910108024691
"1","28","a48e38e0eee99fb7d87b4779edda239d","0.720486806",0.552797729356191,"yes","yes","yes",10,-0.0488919189703905,0.0335651089873943,0.409002512521403,-0.137496236504235,0.335361111111111,3.55800231481481
